city_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
127,airai,99,TL,1578422381,71,-8.93,125.41,67.41,4.18
128,tandil,0,AR,1578422381,23,-37.33,-59.14,86.0,8.01
129,noshiro,100,JP,1578422381,62,40.21,140.05,35.65,7.9
130,hilo,90,US,1578422381,78,19.71,-155.08,73.4,5.82
131,qasigiannguit,20,GL,1578422381,58,68.82,-51.19,-5.8,25.28
132,skibbereen,40,IE,1578422381,87,51.55,-9.27,51.8,19.46
133,port hardy,90,CA,1578422381,93,50.7,-127.42,42.8,23.04
134,bandarban,0,BD,1578422381,73,22.2,92.22,57.13,6.2
135,dezhou,97,CN,1578422381,56,37.45,116.31,28.53,3.51
136,aguimes,20,ES,1578422381,68,27.91,-15.45,66.2,14.99
137,chokurdakh,0,RU,1578422381,95,70.62,147.9,-23.22,5.32
138,bulungu,100,CD,1578422381,92,-4.54,18.6,74.16,4.38
139,kapaa,20,US,1578422381,78,22.08,-159.32,75.2,21.92
140,zhezkazgan,95,KZ,1578422382,100,47.8,67.71,5.68,1.81
141,saint george,20,GR,1578422382,51,39.45,22.34,37.4,9.17
142,tabou,2,CI,1578422382,66,4.42,-7.36,80.91,6.89
143,sao pedro do sul,0,BR,1578422382,37,-29.62,-54.18,84.2,6.93
144,beatrice,1,US,1578422382,42,40.27,-96.75,46.4,12.75
145,saint-philippe,1,CA,1578422382,53,45.36,-73.48,32.0,11.41
146,kaitangata,42,NZ,1578422382,74,-46.28,169.85,50.0,4.0
147,lamar,1,US,1578422382,26,38.09,-102.62,46.4,6.93
148,portland,75,US,1578422047,47,43.66,-70.25,37.0,12.75
149,maniitsoq,100,GL,1578422382,95,65.42,-52.9,-2.22,21.61
150,seoul,90,KR,1578422160,100,37.57,126.98,44.6,8.05
151,nikolskoye,90,RU,1578422382,93,59.7,30.79,37.99,6.71
152,alamos,31,AR,1578422382,13,-36.9,-62.36,91.45,18.3
153,hasaki,75,JP,1578422382,100,35.73,140.83,39.2,6.93
154,aksarka,55,RU,1578422382,85,66.56,67.8,4.93,11.41
155,aklavik,5,CA,1578422382,65,68.22,-135.01,-31.0,2.24
156,trinidad,75,BO,1578422382,74,-14.83,-64.9,86.0,9.17
157,longyearbyen,40,NO,1578422382,68,78.22,15.63,24.8,51.67
158,bitkine,0,TD,1578422382,18,11.98,18.21,80.38,10.25
159,sioux lookout,90,CA,1578422260,71,50.1,-91.92,3.2,17.22
160,xiamen,0,CN,1578422382,93,24.46,118.07,62.6,2.24
161,la rioja,1,AR,1578422382,40,-29.41,-66.86,78.58,9.35
162,saskylakh,78,RU,1578422382,95,71.97,114.09,-1.91,8.95
163,cabo san lucas,5,MX,1578422237,57,22.89,-109.91,75.99,5.53
164,dali,3,CN,1578422382,87,34.79,109.94,32.22,8.21
165,roma,100,IT,1578422382,55,41.89,12.48,46.0,4.7
166,rodrigues alves,50,BR,1578422382,41,-7.74,-72.65,91.35,6.87
167,innisfail,13,AU,1578422382,93,-17.52,146.03,73.27,3.36
168,kruisfontein,100,ZA,1578422382,96,-34.0,24.73,66.78,10.85
169,cherskiy,0,RU,1578422382,77,68.75,161.3,-19.08,8.48
170,te anau,81,NZ,1578422382,87,-45.41,167.72,41.63,2.44
171,berlin,75,DE,1578422330,93,52.52,13.39,43.0,8.05
172,salalah,20,OM,1578422383,73,17.01,54.1,77.0,2.24
173,margate,1,AU,1578422383,87,-43.03,147.26,57.0,4.47
174,dingzhou,100,CN,1578422383,92,38.51,115.0,19.4,2.24
175,matara,100,BI,1578422272,91,-3.48,29.48,59.63,4.52
176,mahebourg,40,MU,1578422383,88,-20.41,57.7,80.6,3.62
177,makakilo city,20,US,1578422383,69,21.35,-158.09,77.0,4.7
178,teguise,20,ES,1578422383,68,29.06,-13.56,66.2,12.75
179,teya,90,MX,1578422383,61,21.05,-89.07,77.0,5.82
180,butaritari,97,KI,1578422383,78,3.07,172.79,84.56,16.04
181,quatre cocos,40,MU,1578422383,88,-20.21,57.76,80.6,5.1
182,klyuchi,86,RU,1578422383,87,52.25,79.17,7.29,3.42
183,zhetysay,93,KZ,1578422383,69,40.73,68.3,34.97,5.35
184,norman wells,20,CA,1578422383,64,65.28,-126.83,-41.8,3.36
185,llanes,41,ES,1578422383,10,43.42,-4.75,48.99,3.62
186,algete,34,ES,1578422383,70,40.6,-3.5,48.2,1.12
187,tiksi,100,RU,1578422383,87,71.64,128.87,-6.41,4.97
188,boddam,70,GB,1578422383,76,57.47,-1.78,57.2,25.28
189,santa cruz del sur,4,CU,1578422383,71,20.71,-78.0,77.38,4.74
190,kihei,20,US,1578422383,78,20.76,-156.45,73.4,14.99
191,mutis,3,CO,1578422383,78,6.23,-77.4,79.93,8.86
192,rabkavi,0,IN,1578422383,64,16.47,75.1,72.14,5.84
193,nouadhibou,98,MR,1578422383,28,20.93,-17.03,71.6,16.11
194,buriti bravo,59,BR,1578422383,83,-5.84,-43.84,82.53,1.92
195,kuala selangor,40,MY,1578422384,83,3.34,101.25,82.4,1.72
196,shubarshi,64,KZ,1578422384,96,48.59,57.19,13.14,4.05
197,scottsbluff,1,US,1578422384,37,41.87,-103.67,50.0,25.28
198,breytovo,96,RU,1578422384,98,58.3,37.86,30.65,11.23
199,omboue,100,GA,1578422384,89,-1.57,9.26,77.9,3.38
200,mwinilunga,84,ZM,1578422384,96,-11.73,24.43,64.67,2.75
201,vilyuysk,99,RU,1578422384,96,63.75,121.63,7.83,5.32
202,kununurra,100,AU,1578422384,94,-15.77,128.74,77.0,4.7
203,kamenka,0,MD,1578422384,87,48.03,28.7,21.0,3.53
204,trincomalee,42,LK,1578422384,90,8.58,81.23,74.14,4.05
205,bembereke,8,BJ,1578422384,22,10.23,2.66,86.2,4.63
206,kawalu,58,ID,1578422384,96,-7.38,108.21,69.98,1.92
207,taoudenni,0,ML,1578422384,12,22.68,-3.98,64.35,7.78
208,port moresby,40,PG,1578422384,100,-9.47,147.16,77.0,5.82
209,mecca,0,SA,1578422384,58,21.43,39.83,65.73,6.04
210,manaus,75,BR,1578422384,59,-3.13,-59.98,91.4,8.05
211,port hedland,75,AU,1578422346,78,-20.31,118.58,80.6,18.34
212,atar,1,MR,1578422384,19,20.52,-13.05,71.6,16.11
213,ixtapa,40,MX,1578422384,53,20.71,-105.21,77.0,2.24
214,apiai,78,BR,1578422384,78,-24.51,-48.84,72.5,5.73
215,zelenogradsk,90,RU,1578422384,86,54.96,20.48,37.4,6.71
216,faanui,26,PF,1578422384,78,-16.48,-151.75,82.13,19.39
217,bolobo,8,CD,1578422384,46,-2.17,16.23,82.81,2.01
218,sidrolandia,75,BR,1578422384,100,-20.93,-54.96,71.6,5.82
219,la romana,75,DO,1578422385,88,18.43,-68.97,82.4,6.93
220,maloy,95,ID,1578422385,93,1.0,118.1,75.16,3.09
221,sao joao do paraiso,99,BR,1578422385,81,-15.31,-42.01,78.49,4.68
222,sinnamary,21,GF,1578422385,80,5.38,-52.96,80.71,14.45
223,beringovskiy,99,RU,1578422385,97,63.05,179.32,-7.04,6.8
224,flinders,90,AU,1578422385,73,-34.58,150.85,70.0,9.17
225,san carlos de bariloche,40,AR,1578422176,44,-41.13,-71.31,59.0,41.38
226,sorland,75,NO,1578422385,75,67.67,12.69,42.8,20.8
